trade_flow,period_date,year,month_number,month_name,hs_code,product_category,product_description,partner_country,record_type,trade_value_usd_million,observation_status,reported_quantity_unit,source_report_date,source_value_column,source_file
export,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,AUSTRALIA,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011010/71011010_2018_01.html
export,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,JAPAN,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011010/71011010_2018_01.html
export,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,SPAIN,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011010/71011010_2018_01.html
export,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,SRI LANKA DSR,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011010/71011010_2018_01.html
export,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,SWITZERLAND,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011010/71011010_2018_01.html
export,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,U ARAB EMTS,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011010/71011010_2018_01.html
export,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,U S A,PARTNER,0.04,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011010/71011010_2018_01.html
export,2018-01-01,2018,1,January,71011010,Natural Pearls,Natural (real) pearls - unworked,Total,TOTAL,0.04,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011010/71011010_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,BAHARAIN IS,PARTNER,0.11,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,CANADA,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,CROATIA,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,EGYPT A RP,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,ESTONIA,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,HONG KONG,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,ITALY,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,JAPAN,PARTNER,0.24,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,SINGAPORE,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
export,2018-01-01,2018,1,January,71011020,Natural Pearls,Natural (real) pearls - worked,SWITZERLAND,PARTNER,0.0,R,KGS,2026-08-20,Jan-2018  (R),gemstrategy_data/raw/export/71011020/71011020_2018_01.html
